TempS1;UmiS1;TempS2;UmiS2;Diff;DtGravacao
21,4;73;21;71;0,4;2025-08-27 20:26:48
21,4;73;21;71;0,4;2025-08-27 20:26:53
21,4;73;21;71;0,4;2025-08-27 20:26:59
21,4;73;21;71;0,4;2025-08-27 20:27:04
21,4;73;21;71;0,4;2025-08-27 20:27:09
21,4;73;21;71;0,4;2025-08-27 20:27:14
21,4;73;21;71;0,4;2025-08-27 20:27:19
21,4;73;21;71;0,4;2025-08-27 20:27:25
21,4;73;21;71;0,4;2025-08-27 20:27:30
21,4;73;21;71;0,4;2025-08-27 20:27:35
21,4;73;21;71;0,4;2025-08-27 20:27:40
21,4;73;21;71;0,4;2025-08-27 20:27:46
21,4;73;21;71;0,4;2025-08-27 20:27:51
21,4;73;21;71;0,4;2025-08-27 20:27:56
21,4;73;21;71;0,4;2025-08-27 20:28:01
21,4;73;21;71;0,4;2025-08-27 20:28:06
21,4;73;21;71;0,4;2025-08-27 20:28:12
21,4;73;21;71;0,4;2025-08-27 20:28:17
21,4;73;21;71;0,4;2025-08-27 20:28:22
21,4;73;21;71;0,4;2025-08-27 20:28:27
21,4;73;21;71;0,4;2025-08-27 20:28:33
21,4;73;21;71;0,4;2025-08-27 20:28:38
21,4;73;21;71;0,4;2025-08-27 20:28:43
21,4;73;21;71;0,4;2025-08-27 20:28:48
21,4;73;21;71;0,4;2025-08-27 20:28:53
21,4;73;21;71;0,4;2025-08-27 20:28:59
21,4;73;21;71;0,4;2025-08-27 20:29:04
21,4;73;21;71;0,4;2025-08-27 20:29:09
21,4;73;21;71;0,4;2025-08-27 20:29:14
21,4;73;21;71;0,4;2025-08-27 20:29:20
21,4;73;21;71;0,4;2025-08-27 20:29:25
21,4;73;21;71;0,4;2025-08-27 20:29:30
21,4;73;21;71;0,4;2025-08-27 20:29:35
21,4;73;21;71;0,4;2025-08-27 20:29:41
21,4;73;21;71;0,4;2025-08-27 20:29:46
21,5;73;21;71;0,5;2025-08-27 20:29:51
21,5;73;21;71;0,5;2025-08-27 20:29:56
21,4;73;21;71;0,4;2025-08-27 20:30:02
21,4;73;21;71;0,4;2025-08-27 20:30:07
21,4;73;21;71;0,4;2025-08-27 20:30:12
21,4;73;21;71;0,4;2025-08-27 20:30:17
21,4;73;21;71;0,4;2025-08-27 20:30:23
21,5;73;21;71;0,5;2025-08-27 20:30:28
21,5;73;21;71;0,5;2025-08-27 20:30:33
21,5;73;21;71;0,5;2025-08-27 20:30:38
21,5;73;21;71;0,5;2025-08-27 20:30:43
21,5;73;21;71;0,5;2025-08-27 20:30:49
21,5;73;21;71;0,5;2025-08-27 20:30:54
21,5;73;21;71;0,5;2025-08-27 20:30:59
21,5;73;21;71;0,5;2025-08-27 20:31:04
21,5;73;21;71;0,5;2025-08-27 20:31:10
21,4;73;21;71;0,4;2025-08-27 20:31:15
21,4;73;21;71;0,4;2025-08-27 20:31:20
21,4;73;21;71;0,4;2025-08-27 20:31:25
21,4;73;21;71;0,4;2025-08-27 20:31:31
21,4;73;21;71;0,4;2025-08-27 20:31:36
21,4;73;21;71;0,4;2025-08-27 20:31:41
21,4;73;21;71;0,4;2025-08-27 20:31:46
21,4;73;21;71;0,4;2025-08-27 20:31:51
21,4;73;21;71;0,4;2025-08-27 20:31:57
21,4;73;21;71;0,4;2025-08-27 20:32:02
21,4;73;21;71;0,4;2025-08-27 20:32:07
21,4;73;21;71;0,4;2025-08-27 20:32:12
21,4;73;21;71;0,4;2025-08-27 20:32:18
21,4;73;21;71;0,4;2025-08-27 20:32:23
21,4;73;21;71;0,4;2025-08-27 20:32:28
